alpha,lambda,intercept,x1,x2,x3,mse
0.1,0.01584893,9.043675,1.063429,-0.05849433,-0.4621868,369.1213
0.1,0.01258925,14.05406,1.21535,-0.1882505,-0.5423869,368.6638
0.1,0.01,19.68605,1.386008,-0.3341094,-0.6324261,368.1502
0.1,0.007943282,25.91583,1.5747,-0.4954548,-0.7319401,367.5827
0.1,0.006309573,32.62302,1.777791,-0.6691674,-0.8390201,366.9727
0.1,0.005011872,39.6853,1.991592,-0.8520788,-0.9517258,366.3313
0.1,0.003981072,46.92724,2.210802,-1.039645,-1.067268,365.6747
0.1,0.003162278,54.16764,2.429943,-1.227172,-1.182764,365.0192
0.1,0.002511886,61.2036,2.642881,-1.409405,-1.294983,364.3832
0.1,0.001995262,67.88817,2.845175,-1.582538,-1.401588,363.7799
0.1,0.001584893,74.07237,3.032319,-1.742711,-1.500206,363.2225
0.1,0.001258925,79.66903,3.201679,-1.887667,-1.58945,362.7188
0.1,0.001,84.62605,3.351679,-2.016056,-1.66849,362.2731
0.2,100,20.195,0,0,0,367.7775
0.2,79.43282,20.195,0,0,0,367.7775
0.2,63.09573,20.195,0,0,0,367.7775
0.2,50.11872,20.195,0,0,0,367.7775
0.2,39.81072,20.195,0,0,0,367.7775
0.2,31.62278,20.195,0,0,0,367.7775
0.2,25.11886,20.195,0,0,0,367.7775
0.2,19.95262,19.19894,0.006271886,0.01636409,0,367.8773
0.2,15.84893,16.24912,0.04412634,0.05529142,0,368.1848
0.2,12.58925,13.19667,0.08292796,0.09575616,0,368.5029
0.2,10,10.11716,0.1215664,0.1368302,0,368.8238
0.2,7.943282,7.087751,0.1588874,0.1775767,0,369.1393
0.2,6.309573,4.178911,0.1938273,0.2171446,0,369.4419
0.2,5.011872,1.447931,0.2254785,0.2548629,0,369.7255
0.2,3.981072,-1.065369,0.2531226,0.2903088,0,369.9858
0.2,3.162278,-3.339543,0.2763801,0.3232508,0,370.2203
0.2,2.511886,-5.370428,0.29497,0.3537466,0,370.4286
0.2,1.995262,-7.166251,0.3090092,0.381899,0,370.6113
0.2,1.584893,-8.746322,0.3185284,0.4080704,0,370.7705
0.2,1.258925,-10.13317,0.3239138,0.4325098,0,370.9084
0.2,1,-11.16083,0.3288487,0.4532833,-0.005799816,371.0064
0.2,0.7943282,-11.48887,0.3438125,0.4630061,-0.02564538,371.031
0.2,0.6309573,-11.70577,0.3572058,0.4700115,-0.04304181,371.0459
0.2,0.5011872,-11.82443,0.3695728,0.4744764,-0.05834769,371.0524
0.2,0.3981072,-11.8571,0.3813048,0.4766309,-0.07190526,371.0515
0.2,0.3162278,-11.71153,0.3961075,0.4739445,-0.08576072,371.035
0.2,0.2511886,-11.44177,0.4125754,0.4678983,-0.09941356,371.0076
0.2,0.1995262,-11.01661,0.4320988,0.4576746,-0.1137531,370.9665
0.2,0.1584893,-10.4325,0.4550784,0.4432066,-0.1291505,370.9111
0.2,0.1258925,-9.66152,0.4826334,0.423784,-0.1463268,370.8389
0.2,0.1,-8.663746,0.5161946,0.3983868,-0.1661481,370.7463
0.2,0.07943282,-7.400326,0.5571073,0.3660253,-0.1894203,370.6295
0.2,0.06309573,-5.837462,0.606524,0.3258414,-0.2168331,370.4855
0.2,0.05011872,-3.897909,0.6669078,0.2758414,-0.2497464,370.3072
0.2,0.03981072,-1.540668,0.7395775,0.2149776,-0.2889118,370.0908
0.2,0.03162278,1.30887,0.8268671,0.1413243,-0.3356013,369.8296
0.2,0.02511886,4.700865,0.9303472,0.05359087,-0.3906787,369.519
0.2,0.01995262,6.771302,0.994459,0,-0.4250936,369.3295
